variavel,comparacao,comparacao_en,ajuste,z,N_ref,r,p_adj,p_unadj,scenario
altura_dossel,FOD - FOM,DOF–MOF,FDR,4.1225156950767845,184,0.3039158891806933,7.495141361782044e-5,3.747570680891022e-5,S_strong_beams
agbd,FED - FES,SDF–SSdF,Bonferroni,4.540344500270276,136,0.3893313289279618,3.3697432167669726e-5,5.616238694611621e-6,S_strong_beams
agbd,FED - FOD,SDF–DOF,Bonferroni,0.1113475638754506,186,0.008164399503495344,1,0.9113407393574497,S_strong_beams
agbd,FES - FOD,SSdF–DOF,Bonferroni,-5.531102446855946,214,0.3780983793602405,1.9093463574896877e-7,3.18224392914948e-8,S_strong_beams
agbd,FED - FOM,SDF–MOF,Bonferroni,4.356729151074433,106,0.4231629430558362,7.92122807114331e-5,1.320204678523885e-5,S_strong_beams
agbd,FES - FOM,SSdF–MOF,Bonferroni,0.2863780339278398,134,0.024739294129032828,1,0.7745885968831776,S_strong_beams
agbd,FOD - FOM,DOF–MOF,Bonferroni,5.060190759249399,184,0.3730422120303328,2.513023415070935e-6,4.188372358451558e-7,S_strong_beams
agbd,FED - FES,SDF–SSdF,FDR,4.540344500270276,136,0.3893313289279618,1.1232477389223242e-5,5.616238694611621e-6,S_strong_beams
agbd,FED - FOD,SDF–DOF,FDR,0.1113475638754506,186,0.008164399503495344,0.9113407393574497,0.9113407393574497,S_strong_beams
agbd,FES - FOD,SSdF–DOF,FDR,-5.531102446855946,214,0.3780983793602405,1.9093463574896877e-7,3.18224392914948e-8,S_strong_beams
agbd,FED - FOM,SDF–MOF,FDR,4.356729151074433,106,0.4231629430558362,1.9803070177858276e-5,1.320204678523885e-5,S_strong_beams
agbd,FES - FOM,SSdF–MOF,FDR,0.2863780339278398,134,0.024739294129032828,0.9295063162598131,0.7745885968831776,S_strong_beams
agbd,FOD - FOM,DOF–MOF,FDR,5.060190759249399,184,0.3730422120303328,1.2565117075354675e-6,4.188372358451558e-7,S_strong_beams
pai,FED - FES,SDF–SSdF,Bonferroni,0.11766404182475212,136,0.010089608347546986,1,0.906333859272342,S_strong_beams
pai,FED - FOD,SDF–DOF,Bonferroni,-4.2717588921079965,186,0.31322055879722505,1.1636232044403705e-4,1.9393720074006175e-5,S_strong_beams
pai,FES - FOD,SSdF–DOF,Bonferroni,-5.054223273279819,214,0.3454995901654613,2.5928749793110925e-6,4.321458298851821e-7,S_strong_beams
pai,FED - FOM,SDF–MOF,Bonferroni,0.6131182189578184,106,0.05955130580273945,1,0.5397981743765916,S_strong_beams
pai,FES - FOM,SSdF–MOF,Bonferroni,0.5556546034769257,134,0.04800124674726468,1,0.5784469959292875,S_strong_beams
pai,FOD - FOM,DOF–MOF,Bonferroni,4.942202352676107,184,0.36434399129595,4.634698831866952e-6,7.724498053111587e-7,S_strong_beams
pai,FED - FES,SDF–SSdF,FDR,0.11766404182475212,136,0.010089608347546986,0.906333859272342,0.906333859272342,S_strong_beams
pai,FED - FOD,SDF–DOF,FDR,-4.2717588921079965,186,0.31322055879722505,3.878744014801235e-5,1.9393720074006175e-5,S_strong_beams
pai,FES - FOD,SSdF–DOF,FDR,-5.054223273279819,214,0.3454995901654613,2.5928749793110925e-6,4.321458298851821e-7,S_strong_beams
pai,FED - FOM,SDF–MOF,FDR,0.6131182189578184,106,0.05955130580273945,0.8096972615648874,0.5397981743765916,S_strong_beams
pai,FES - FOM,SSdF–MOF,FDR,0.5556546034769257,134,0.04800124674726468,0.694136395115145,0.5784469959292875,S_strong_beams
pai,FOD - FOM,DOF–MOF,FDR,4.942202352676107,184,0.36434399129595,2.317349415933476e-6,7.724498053111587e-7,S_strong_beams
cover,FED - FES,SDF–SSdF,Bonferroni,0.14086814855771096,136,0.012079344084646088,1,0.8879741049586684,S_strong_beams
cover,FED - FOD,SDF–DOF,Bonferroni,-4.294850698475694,186,0.3149137321894523,1.0488656450117642e-4,1.7481094083529403e-5,S_strong_beams
cover,FES - FOD,SSdF–DOF,Bonferroni,-5.109673349039797,214,0.34929007930965855,1.936297651346022e-6,3.22716275224337e-7,S_strong_beams
cover,FED - FOM,SDF–MOF,Bonferroni,0.5781315712041822,106,0.056153102169301417,1,0.5631752934632505,S_strong_beams
cover,FES - FOM,SSdF–MOF,Bonferroni,0.4943695898253009,134,0.042707027921768545,1,0.6210451865999453,S_strong_beams
cover,FOD - FOM,DOF–MOF,Bonferroni,4.923467317136104,184,0.36296282615162523,5.101444949598358e-6,8.502408249330597e-7,S_strong_beams
cover,FED - FES,SDF–SSdF,FDR,0.14086814855771096,136,0.012079344084646088,0.8879741049586684,0.8879741049586684,S_strong_beams
cover,FED - FOD,SDF–DOF,FDR,-4.294850698475694,186,0.3149137321894523,3.4962188167058807e-5,1.7481094083529403e-5,S_strong_beams
cover,FES - FOD,SSdF–DOF,FDR,-5.109673349039797,214,0.34929007930965855,1.936297651346022e-6,3.22716275224337e-7,S_strong_beams
cover,FED - FOM,SDF–MOF,FDR,0.5781315712041822,106,0.056153102169301417,0.8447629401948757,0.5631752934632505,S_strong_beams
cover,FES - FOM,SSdF–MOF,FDR,0.4943695898253009,134,0.042707027921768545,0.7452542239199343,0.6210451865999453,S_strong_beams
cover,FOD - FOM,DOF–MOF,FDR,4.923467317136104,184,0.36296282615162523,2.550722474799179e-6,8.502408249330597e-7,S_strong_beams
